#TimeStamp(inmicroSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
8180;4;0.001971;0.192688;0.427368;0.080195;0.004455;0.001823;0.023970;0.195539;0.000000;98.711723;0.003220;0.103146;0.004284;0.109551;0.013815;0.000000;0.000437;0.008668;0.470112;0.007370;0.009238;0.034194;0.013511;0.008881;0.005646;0.009984;0.001945;0.000000;0.000146;0.000002;-1.055039;-1.502458;-0.305496;0
8242;4;0.001972;0.192687;0.427158;0.080405;0.004449;0.001823;0.023965;0.195737;0.000000;98.645615;0.002825;0.108737;0.006238;0.140574;0.013530;0.000000;0.000418;0.008948;0.504405;0.007342;0.009084;0.036863;0.013329;0.007393;0.004943;0.010628;0.002178;0.000000;0.000158;0.000002;-1.261459;-1.716298;0.559080;0
8321;4;0.001971;0.192687;0.427151;0.080405;0.004449;0.001822;0.023958;0.195779;0.000000;98.664017;0.002694;0.112341;0.006533;0.136974;0.017802;0.000000;0.000358;0.007196;0.506667;0.007132;0.008485;0.038677;0.011951;0.009093;0.005519;0.011416;0.002062;0.000000;0.000167;0.000002;-1.453511;-0.956543;0.489720;0
8384;4;0.001973;0.192687;0.427017;0.080562;0.004449;0.001822;0.023959;0.195778;0.000000;98.665306;0.002896;0.116891;0.010262;0.159868;0.014969;0.000000;0.000276;0.007044;0.496330;0.007727;0.008706;0.031512;0.011049;0.008152;0.005824;0.011078;0.001826;0.000000;0.000169;0.000003;-0.859308;-0.977081;0.484852;0
8446;4;0.001971;0.192686;0.426973;0.080551;0.004454;0.001821;0.023953;0.195737;0.000000;98.672455;0.002590;0.128705;0.009473;0.146167;0.016644;0.000000;0.000314;0.007461;0.454291;0.007650;0.010090;0.030316;0.007582;0.007675;0.006174;0.011474;0.001965;0.000000;0.000150;0.000003;-0.477400;-1.599513;0.457627;0
8508;4;0.001971;0.192687;0.427055;0.080435;0.004454;0.001822;0.023961;0.195661;0.000000;98.736435;0.002775;0.115054;0.012664;0.139509;0.016294;0.000000;0.000259;0.007091;0.469464;0.008525;0.009372;0.029128;0.009279;0.008878;0.005673;0.011873;0.002195;0.000000;0.000166;0.000003;-1.076856;-1.063629;0.207406;0
8570;4;0.001970;0.192685;0.426915;0.080311;0.004453;0.001822;0.023962;0.195679;0.000000;98.554031;0.002408;0.116288;0.012738;0.116657;0.011637;0.000000;0.000239;0.007242;0.468928;0.008461;0.009253;0.023465;0.008644;0.008837;0.004166;0.012584;0.002965;0.000000;0.000160;0.000003;-0.235859;-1.117177;0.890861;0
8634;4;0.001970;0.192685;0.426865;0.080038;0.004455;0.001824;0.023971;0.195494;0.000000;98.365211;0.002221;0.095128;0.014610;0.090124;0.011297;0.000000;0.000192;0.007491;0.474282;0.008405;0.009849;0.036032;0.008393;0.007295;0.002751;0.012028;0.003196;0.000000;0.000162;0.000003;-0.237610;-1.133376;1.514111;0
8726;4;0.001970;0.192686;0.426728;0.080004;0.004447;0.001824;0.023974;0.195680;0.000000;98.443329;0.002472;0.088545;0.011129;0.090800;0.011164;0.000000;0.000140;0.007754;0.537002;0.008787;0.009726;0.037586;0.008880;0.005989;0.002759;0.013617;0.003533;0.000000;0.000182;0.000003;-0.749511;-1.110481;1.265357;0
8789;4;0.001972;0.192687;0.426637;0.079941;0.004446;0.001825;0.023981;0.195644;0.000000;98.622780;0.002554;0.077895;0.008802;0.090331;0.012535;0.000000;0.000111;0.007128;0.554655;0.008883;0.010660;0.033141;0.008793;0.005449;0.003564;0.014089;0.003778;0.000000;0.000199;0.000003;-0.706178;-1.414114;0.643830;0
8852;4;0.001972;0.192688;0.426538;0.079961;0.004436;0.001825;0.023984;0.195898;0.000000;98.763924;0.002763;0.074483;0.007625;0.097264;0.008277;0.000000;0.000105;0.007746;0.627014;0.009886;0.012768;0.036735;0.011286;0.004960;0.002689;0.015010;0.002780;0.000000;0.000218;0.000003;-0.751590;-1.488402;0.096054;0
8915;4;0.001973;0.192688;0.426510;0.079943;0.004438;0.001825;0.023989;0.195776;0.000000;98.455971;0.002880;0.067072;0.007123;0.101481;0.009398;0.000000;0.000133;0.007690;0.614368;0.010822;0.013632;0.035578;0.010309;0.004921;0.002445;0.015331;0.002497;0.000000;0.000220;0.000003;-1.435312;-1.175963;1.223935;0
